,NY.GDP.MKTP.CD,SP.POP.TOTL,NV.AGR.TOTL.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.ZS,alpha-2
0,15856678596.148,29185511.0,26.2100685374552,21.1514206977128,48.8793769096891,AF
1,,,,,,AX
2,11926922828.9911,2913021.0,17.9558663972347,24.9374619346668,44.0255879707497,AL
3,161207270185.25,35977451.0,8.46644357650095,40.0094850012892,39.2460399660962,DZ
4,573000000.0,56084.0,,,,AS
5,3449966856.68832,84454.0,,,,AD
6,83799496611.2004,23356247.0,6.18029318057362,52.3684348885467,41.8870236648356,AO
7,,,,,,AI
8,1148700000.0,88030.0,1.6334084585151,16.2041470390038,70.687637232427,AG
9,423627422092.49,40788453.0,7.13216745078964,25.2587762576722,51.4951802052167,AR
10,9260284937.79781,2877314.0,,,,AM
11,2390502793.29609,101665.0,,,,AW
12,1147589183475.73,22031750.0,2.20622661871056,25.2005974557473,65.6899677478282,AU
13,391892746544.69,8363404.0,1.26732767225745,25.5349942466396,62.2941578518769,AT
14,52909294791.9262,9054332.0,5.52125279642058,59.7713411044389,27.9335923701872,AZ
15,10095760000.0,354936.0,1.09749043162674,11.4998771761611,81.0746293493506,BS
16,25713271276.5957,1240864.0,0.297677228105778,44.975946893886,53.6817129162749,BH
17,115279077465.226,147575433.0,17.0011812592919,24.9564767264585,53.4982962820487,BD
18,4530000000.0,282131.0,,,,BB
19,57222490768.7143,9483836.0,8.89151958926658,35.3930231166604,43.474996157587,BY
20,480951629493.033,10895586.0,0.765104156770348,20.8945803561766,67.6576340646489,BE
21,1377177100.0,322465.0,11.6630932942466,19.1090274446184,60.270443794048,BZ
22,9535344283.47295,9199254.0,25.8411354962681,18.0090531395068,44.5474397323122,BJ
23,6634526000.0,65124.0,0.286094289177554,6.59753236327659,88.9208362436141,BM
24,1547991317.81183,685502.0,14.7830364590176,43.814816758048,37.3121897073644,BT
25,19649631314.0482,10048597.0,10.389905672446,30.1439417349784,43.5524305171963,BO
26,,,,,,BQ
27,17176781045.5967,3705478.0,6.79676205582429,22.4540094972713,55.5086558918145,BA
28,12786654498.3514,1987106.0,2.48803786220601,31.8613203597538,55.0087212217755,BW
29,,,,,,BV
30,2208838108577.09,195713637.0,4.11575648758173,23.267977354744,57.6129219704224,BR
31,,,,,,IO
32,13707370737.0737,388634.0,0.733012306046014,68.6570358480471,32.5026645264848,BN
33,50682061053.2016,7395599.0,4.03303510604369,23.7573248967112,59.4952030897006,BG
34,10109618964.2848,15605211.0,24.1433866229434,26.0555520336446,42.120724852489,BF
35,2032135246.50004,8675606.0,38.4305452876335,15.3861562777509,36.9511248689049,BI
36,1664310769.55229,492644.0,7.98977733163668,18.1487065415129,61.1614504716051,CV
37,11242275198.9783,14312205.0,33.8766787567437,21.8686244839884,38.3054104505287,KH
38,27507499709.071,20341236.0,17.2697108763411,25.8445117299445,50.6327279312031,CM
39,1617343367486.26,34004889.0,1.49323608111661,26.3511331619895,65.7334191252823,CA
40,4156990759.63038,56672.0,0.312850351574142,7.06530769853434,87.6099805878741,KY
41,2142591375.85053,4386765.0,37.3635795959409,24.5099241422375,29.3293728575983,CF
42,10668102734.8132,11952134.0,51.9456230241815,11.9680625356773,33.4127974225258,TD
43,218537551220.123,17062531.0,3.61588964470429,35.695094517819,52.7783509550947,CL
44,6087163874510.73,1337705000.0,9.32517694053669,46.4978311380712,44.1769919214406,CN
45,,,,,,CX
46,,,,,,CC
47,286563105192.457,45222699.0,6.32485387641068,31.3713561004302,53.3990736315847,CO
48,907978723.547592,689696.0,30.4160594989716,11.7754424286312,53.189967561664,KM
49,13135580695.2473,4273738.0,4.03853452122591,66.1791697837805,25.4331793516229,CG
50,21565720044.4634,64563853.0,21.4284911224372,38.6891499635451,35.3774218115813,CD
51,,,,,,CK
52,37658614803.2919,4577371.0,6.48518940835915,23.3229652114086,61.9077530607562,CR
53,34936305296.8834,20532944.0,17.488917070827,15.9765793755114,37.832201102972,CI
54,60426018629.2992,4295427.0,3.66829554689621,21.4475908795711,59.8434008592329,HR
55,64328000000.0,11225833.0,3.61428926750404,22.8936077602288,72.469220246238,CU
56,,148703.0,0.441001800600715,15.0197289233141,77.0303910145171,CW
57,25732432719.0773,1112617.0,2.06307849768372,14.4957587269308,71.5881432916912,CY
58,209069940963.177,10474410.0,1.54059611257066,33.1707518651997,55.7881674084055,CZ
59,321995279401.502,5547683.0,1.20190857029029,19.7049241450312,65.3884134359863,DK
60,1128611700.3618,840194.0,,,,DJ
61,493825925.925926,70877.0,11.4660286650717,11.7075292688232,60.2934007335018,DM
62,53860175555.9961,9695117.0,6.05745782580902,27.9233936099573,59.2929222707978,DO
63,69555367000.0,15011114.0,9.73311807843671,34.7241859855329,51.1492075083149,EC
64,218983666061.706,82761244.0,13.3407591579645,35.7845184816841,46.2327200397812,EG
65,18447920000.0,6183877.0,6.98170850697531,25.2759118643186,59.5027515297118,SV
66,16314443428.9408,943640.0,1.06137128570531,74.7445614275894,24.7325512094271,GQ
67,1589515447.15447,3170437.0,,,,ER
68,19523477325.6235,1331475.0,3.17107206970876,24.4012405313225,59.9220424685995,EE
69,4438778424.30203,1064841.0,10.1562127323485,37.705563884448,49.552576625361,SZ
70,29933790334.3418,87639962.0,41.4468200699758,9.43512813822331,41.7550740909194,ET
71,,,,,,FK
72,2320424601.26954,47803.0,14.7015777415079,14.1858807843498,58.3335248998107,FO
73,3140508835.9485,859816.0,9.38189737562413,16.972580397166,57.4879987562657,FJ
74,249181190476.369,5363352.0,2.41890476924467,26.1582944887665,58.9429317062022,FI
75,2642609548930.36,65027505.0,1.60402828863388,17.8457356302771,70.6519707170239,FR
76,,,,,,GF
77,,266449.0,,,,PF
78,,,,,,TF
79,14372591916.4792,1624146.0,3.91445441728357,55.1924628115731,30.8276344945018,GA
80,1543292392.54605,1793199.0,35.1932434877047,9.82816623642272,49.2005371228435,GM
81,12243505582.6741,3786695.0,8.45080104117022,16.8521098361257,63.0792425853283,GE
82,3396354075663.73,81776930.0,0.803696771174544,26.8488925284667,62.2586569957885,DE
83,32197272797.2028,24779614.0,28.0387379636491,18.0149428066597,48.1811608328439,GH
84,,33585.0,,,,GI
85,296835346570.223,11121341.0,2.9883328440953,14.9012223276549,70.3335389783951,GR
86,2503156060.52524,56905.0,13.3982099730075,18.0842449211536,65.6201164938201,GL
87,771013259.259259,106227.0,4.51319038659949,14.7095659305086,68.3660721980186,GD
88,,,,,,GP
89,4949000000.0,159439.0,,,,GU
90,40676432028.5934,14259687.0,11.2341516901897,27.4918265373292,59.4695981042423,GT
91,,,,,,GG
92,6853467857.61127,10192168.0,17.4849487340474,32.3138345023126,43.4042107851095,GN
